"self" "rep" "rec" "pi" "Ne" "Smean" "f0_obs" "f0_pred" "f0_adj" "omega"
"0" "1" "tot" "0.0118376571428571" "2959.41428571429" "29.5941428571429" "0.351158129798881" "0.248170365954151" "0.438958827843347" "0"
"0" "1" "high" "0.0155660952380952" "3891.52380952381" "38.9152380952381" "0.295913891634289" "0.248170365954151" "0.387789644137891" "0"
"0" "1" "low" "0.00810921904761905" "2027.30476190476" "20.2730476190476" "0.409208349020539" "0.248170365954151" "0.517525865514749" "0"
"0" "2" "tot" "0.0120793523809524" "3019.8380952381" "30.198380952381" "0.34252727111968" "0.248170365954151" "0.435013519016238" "0"
"0" "2" "high" "0.0157578285714286" "3939.45714285714" "39.3945714285714" "0.300708088938717" "0.248170365954151" "0.38561735105875" "0"
"0" "2" "low" "0.00840087619047619" "2100.21904761905" "21.0021904761905" "0.382811026707594" "0.248170365954151" "0.509824409423826" "0"
"0" "3" "tot" "0.0116242095238095" "2906.05238095238" "29.0605238095238" "0.33884726332998" "0.248170365954151" "0.442533263190111" "0"
"0" "3" "high" "0.0151930285714286" "3798.25714285714" "37.9825714285714" "0.289526569170784" "0.248170365954151" "0.392123424678799" "0"
"0" "3" "low" "0.00805539047619048" "2013.84761904762" "20.1384761904762" "0.390072818805183" "0.248170365954151" "0.518985298535295" "0"
"0" "4" "tot" "0.0114146285714286" "2853.65714285714" "28.5365714285714" "0.2900307538799" "0.248170365954151" "0.446128779792795" "6.27028749830463e-05"
"0" "4" "high" "0.0153421333333333" "3835.53333333333" "38.3553333333333" "0.0992403135570644" "0.248170365954151" "0.390374018996755" "0.000128965964968783"
"0" "4" "low" "0.00748712380952381" "1871.78095238095" "18.7178095238095" "0.399433757403324" "0.248170365954151" "0.535174697803127" "0"
"0" "5" "tot" "0.0116013523809524" "2900.3380952381" "29.003380952381" "0.283838237726945" "0.248170365954151" "0.442921200820906" "6.13685869593617e-05"
"0" "5" "high" "0.0157664761904762" "3941.61904761905" "39.4161904761905" "0.177406654861124" "0.248170365954151" "0.385520231352891" "9.02442688466193e-05"
"0" "5" "low" "0.00743622857142857" "1859.05714285714" "18.5905714285714" "0.393686912228238" "0.248170365954151" "0.536698603252942" "0"
"0" "6" "tot" "0.0114805714285714" "2870.14285714286" "28.7014285714286" "0.337456154434404" "0.248170365954151" "0.444988102763143" "0"
"0" "6" "high" "0.0153715428571429" "3842.88571428571" "38.4288571428571" "0.287258999308913" "0.248170365954151" "0.390031712494623" "0"
"0" "6" "low" "0.0075896" "1897.4" "18.974" "0.390181505849688" "0.248170365954151" "0.532144762256051" "0"
"0" "7" "tot" "0.0116341523809524" "2908.5380952381" "29.085380952381" "0.289256803808599" "0.248170365954151" "0.442364826328979" "5.87740177681391e-05"
"0" "7" "high" "0.0152497904761905" "3812.44761904762" "38.1244761904762" "0.302088757125233" "0.248170365954151" "0.391454693051301" "0"
"0" "7" "low" "0.00801851428571428" "2004.62857142857" "20.0462857142857" "0.305946723370787" "0.248170365954151" "0.519992173579784" "9.14158388024424e-05"
"0" "8" "tot" "0.011494380952381" "2873.59523809524" "28.7359523809524" "0.288095414863494" "0.248170365954151" "0.444750325630306" "6.35351200372032e-05"
"0" "8" "high" "0.0152130285714286" "3803.25714285714" "38.0325714285714" "0.30269856888351" "0.248170365954151" "0.391887408182018" "0"
"0" "8" "low" "0.00777573333333333" "1943.93333333333" "19.4393333333333" "0.269034452516636" "0.248170365954151" "0.526768695008939" "0.000126165666247924"
"0" "9" "tot" "0.0113727428571429" "2843.18571428571" "28.4318571428571" "0.343388791447745" "0.248170365954151" "0.446857861336815" "0"
"0" "9" "high" "0.0153383238095238" "3834.58095238095" "38.3458095238095" "0.259132725252321" "0.248170365954151" "0.390418424967347" "3.77954738732505e-05"
"0" "9" "low" "0.0074071619047619" "1851.79047619048" "18.5179047619048" "0.386661402830282" "0.248170365954151" "0.537574690856149" "0"
"0" "10" "tot" "0.0112724761904762" "2818.11904761905" "28.1811904761905" "0.33676894630176" "0.248170365954151" "0.44861768099973" "0"
"0" "10" "high" "0.0152814476190476" "3820.3619047619" "38.203619047619" "0.289257453346704" "0.248170365954151" "0.391083207427934" "0"
"0" "10" "low" "0.00726350476190476" "1815.87619047619" "18.1587619047619" "0.387704743787205" "0.248170365954151" "0.541967506033097" "0"
"0.5" "1" "tot" "0.00688285714285714" "1720.71428571429" "34.4142857142857" "0.197044511388196" "0.203746585262361" "0.410148989656061" "0.000111734577867166"
"0.5" "1" "high" "0.00967047619047619" "2417.61904761905" "48.3523809523809" "0.163955079808889" "0.203746585262361" "0.350724727483963" "8.65464053842789e-05"
