Species Windows piS_obs piS_est Fis_obs Fis_est fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 0.5cM 0.00297295557840182 0.247924789014084 0.9 0.325574600186202 2.68343779900507e-08 0.103784613817652 9.98597503498429e-10 100.342534659051 -4375.07072451047 -2602.0028506798 -807.966775600532 0.497060892877119 0.112776996780929
Ae_caudata 0.5cM 0.00892814527681417 0.0238067080553744 0.6 0.525178260879028 3.28587204637248e-09 0.0643072341230604 1e-06 316.730365396722 -7737.08819502773 -5082.63402889354 -1333.84326912216 0.414548279325546 0.0903059158672118
Ae_comosa 0.5cM 0.00583652758803966 0.0356573625240111 0.8 0.121446385862861 1.82130094277662e-08 0.0592202634198873 1.01558213417322e-09 98.6235257582959 -7809.38094297228 -4019.44951962309 -959.812234819053 0.553309497988965 0.180984921614955
Ae_longissima 0.5cM 0.0061778440002715 22.713143184034 0.7 0.534676899144762 3.10319733848453e-08 0.111643826883273 8.24424579879274e-10 117.981751455649 -7595.97581915246 -3312.45422535444 -1012.12102933474 0.650609974026571 0.385733360426669
Ae_mutica 0.5cM 0.0210275224924686 0.0385353527657129 0 8.31733109499125e-05 2.9339275574269e-09 0.0265103635526629 1e-06 190.097423732298 -9150.58339489356 -3443.96268934901 -1035.7161944934 0.703230325847249 0.338497158473712
Ae_searsii 0.5cM 0.00240073634934691 12.3067488564608 0.9 0.599589737819105 2.7882888314425e-08 0.093225520112823 9.97813681356636e-10 100.410673908964 -629.817043223143 -255.761130733824 -104.955356784534 0.712675209782284 0.236676721051534
Ae_sharonensis 0.5cM 0.00751851991779237 37.2515123409299 0.7 0.505879944436958 3.52377489852045e-08 0.10994029125738 8.03102064020405e-10 122.462890104242 -10959.2021321791 -4562.73471563718 -1041.94127911442 0.644983278277413 0.286618143460221
Ae_speltoides 0.5cM 0.025930679361464 0.0341950383116025 0 0 2.38186958009312e-09 0.010368550072022 4.64919023262871e-10 493.509668258768 -10841.1439438349 -4862.77973168227 -1579.80403890353 0.645518280672253 0.184698241569368
Ae_tauschii 0.5cM 0.00388339797065268 0.191200352021243 0.9 0.586299582063065 1.23087072767627e-08 0.136749892589415 9.97595318555006e-10 100.572107941909 -2688.34547722022 -2059.05408822726 -1060.58811720689 0.386600241812333 0.146126218053074
Ae_umbellulata 0.5cM 0.00373473343867556 0.0648916395600315 0.8 0.363444580619944 1.64320838419294e-08 0.0930821400015654 9.98700621750187e-10 100.230803292894 -4660.97892513685 -2935.34616205531 -808.512912510616 0.447929393127904 0.113975621952424
Ae_uniaristata 0.5cM 0.00313212105178468 0.0075153327500245 0.9 0.865755160697949 2.31403085992598e-10 0.000422982461936988 2.15271860133153e-07 81.152746053699 -3653.8137657777 -2247.86247184003 -771.396302048018 0.487768101473564 0.125884498241221
T_boeticum 0.5cM 0.00272218788794537 0.0135667768378208 0.85 0.233241125055059 1.1920464411547e-09 0.00389241536871684 9.00325671347342e-07 22.9156822962527 -480.294970564912 -304.49155673581 -174.884238167407 0.57562945627034 0.334367479235155
T_urartu 0.5cM 0.00220788495892828 0.00453515144321729 0.95 0.329651134939744 4.83527381368427e-09 0.0424755593988104 1.01174792621372e-09 99.1166793936402 -2411.98407036108 -1886.65199437461 -892.941169581716 0.345830967457826 0.0653483095879166
