Species Windows piS_obs piS_est Fis_obs fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 0.1cM 0.00254648789966067 0.0328999067764825 0.9 2.35337212007804e-09 0.00882291315790956 1.0028097234015e-09 100.325202867794 -2320.86098875033 -1475.6606826181 -510.68080944401 0.466915015308652 0.107656116511713
Ae_caudata 0.1cM 0.00668150661169993 0.0197133105825709 0.6 1.20139041748078e-09 0.0048309541463905 1.73454415355663e-07 27.3663095585533 -4907.60371007786 -3572.33428425898 -927.59021250869 0.335493692831547 0.111577718576158
Ae_comosa 0.1cM 0.00447188056784582 0.020361376209855 0.8 1.29189610549561e-09 0.00199936707948497 6.29538717875083e-07 77.247090250396 -3886.25159930931 -2136.26444183076 -568.440479807047 0.527452315531777 0.124250667880649
Ae_longissima 0.1cM 0.00440608103676539 3.26424993754636 0.7 1.57591952129324e-08 0.0572805564986525 9.09182603145522e-10 107.328660929939 -4049.44351642124 -1979.95238333601 -654.791387887327 0.609632756090094 0.36031402611667
Ae_mutica 0.1cM 0.0141974164491683 0.0338974013165607 0 8.7823684306396e-10 0.00349462320852308 1e-06 158.140735334794 -5347.88328265706 -2549.61024723533 -755.353886592318 0.609309771173053 0.333575740758612
Ae_searsii 0.1cM 0.00129702178243246 0.00589884588375532 0.9 8.38327617808587e-10 0.00179855653283022 9.81664716608059e-10 159.822073694347 -152.565491714865 -58.2431446060889 -35.3339477778848 0.804581633416692 0.420215091614592
Ae_sharonensis 0.1cM 0.00621595409113102 0.841054822181383 0.7 1.31571514945419e-08 0.0402754344945477 9.45220740217973e-10 105.027572933934 -5846.88527431618 -2459.0901193307 -657.110825710687 0.652782734304723 0.333956345007943
Ae_speltoides 0.1cM 0.0189657041276429 0.0306562286320892 0 1.85639470849964e-09 0.00625649299043092 3.78919948258256e-10 527.168380655983 -6770.45435131294 -3508.43688092006 -1115.2488663725 0.576816789253634 0.33574324402133
Ae_tauschii 0.1cM 0.00306453933414711 0.0509172111468399 0.9 1.98729024227451e-09 0.0232164124720605 1.0082128245931e-09 100.428598504214 -1511.5125236209 -1263.28336290323 -731.475062282625 0.318227230127887 0.177380398745018
Ae_umbellulata 0.1cM 0.00291374009622458 0.0715940432297686 0.8 5.17945154325426e-09 0.0318783378562695 9.95186686765506e-10 100.389047605401 -2247.32892347687 -1572.88933846944 -488.962207485693 0.383560254453092 0.122048321012739
Ae_uniaristata 0.1cM 0.0027445121026752 0.00516296223591209 0.9 1.54711561423602e-10 0.000182556973579911 4.61823225722181e-08 98.0280112322959 -2150.43214957107 -1343.78114138952 -510.603800055733 0.491911856762302 0.120568131278104
T_boeticum 0.1cM 0.00236967129448564 0.0095328896438926 0.85 2.67931799388587e-12 1e-05 9.3889720422229e-07 243.356616478061 -254.694939049053 -160.840724246285 -92.9961500444315 0.580426207150416 0.375299532177681
T_urartu 0.1cM 0.00174974114582502 0.00412988139838672 0.95 4.97180100674447e-11 0.000202371706261168 1.53900938172531e-07 291.104743190869 -1538.18200222783 -1198.05089596539 -577.671509264605 0.354114930294113 0.119614331983267
