Species Genome Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis A 1cM 0.0034182172117419 0.127259797776525 0.9 0.967435163507189 1.3992809948671e-09 0.276697837315781 1.06834751863073e-09 0.00504679277100476 8.18402508950852e-10 0.00181782419340223 -2149.51578527116 -1933.09318884951 -1403.85477620124 0.290242608623986 0.0485269520531699
Ae_bicornis A 1cM 0.00288659359676935 0.107111434044776 0.9 0.964756189975167 1.3759496412985e-09 0.210979945528053 1.06586316257969e-09 0.00608234542195679 8.25647556892176e-10 0.00222529792678955 -2022.83790441203 -1854.55113645002 -1387.21614514127 0.264759293569619 0.0744519934274413
Ae_bicornis A 1cM 0.00332822824591185 0.602628045383232 0.9 0.937284756626182 3.05710181180347e-09 0.333752218746527 2.55835311711636e-09 0.00699185042544932 2.09408931211946e-09 0.00999876960904922 -2118.44259916263 -1918.59751932989 -1477.40067424021 0.311750405181269 0.107970926204526
Ae_bicornis A 1cM 0.00328708176796314 0.128729595311333 0.9 0.969612130376407 1.30754617474674e-09 0.277151509215171 9.98519272721827e-10 0.00514406112432781 7.64442967119515e-10 0.00183110373606017 -2193.49927889492 -1935.42747392597 -1462.90753622635 0.353236684589832 0.0521674127382746
Ae_bicornis A 1cM 0.00326302820118077 0.125692786478104 0.9 0.968201854065976 1.37353970652664e-09 0.274140853775099 1.05476014466131e-09 0.0050913220508591 8.0994935872092e-10 0.00179283630806157 -1994.84043253081 -1865.81866063159 -1366.26753578501 0.205261430403996 0.0774183826572451
Ae_bicornis A 1cM 0.00340737898067755 0.125293336442063 0.9 0.966815606493586 1.44657440213938e-09 0.272941691423096 1.11105508701434e-09 0.00510032750878844 8.53334447011241e-10 0.00179970487783181 -2021.17053495838 -1913.32102310863 -1420.94114290378 0.179680490954588 0.0832841458918196
Ae_bicornis A 1cM 0.00297190051423158 0.114835084500471 0.9 0.96636631769227 1.36586362100962e-09 0.236479441588393 1.05404476750592e-09 0.00562710884805107 8.13397479116892e-10 0.00202787521644504 -2095.77718153464 -1879.59005116607 -1422.86152333751 0.321269282019353 0.0820361778283648
Ae_bicornis A 1cM 0.00320188355758552 0.12637514739909 0.9 0.968216819945544 1.36772659828789e-09 0.276424326892843 1.04993991071081e-09 0.00506448496371491 8.06006087417648e-10 0.00178056629282448 -2082.33417248824 -1913.10033819222 -1416.35511501241 0.254112846937625 0.0523602941557368
Ae_bicornis A 1cM 0.00318265351965737 0.124244776588137 0.9 0.966820561268498 1.45353226049527e-09 0.269006477056655 1.11690799022631e-09 0.00514786818225899 8.58220869538803e-10 0.00182047698220443 -1976.6857071193 -1859.04452263636 -1365.7513810043 0.192559460901515 0.0744157887548697
Ae_bicornis A 1cM 0.00359823660667923 0.124409207841308 0.9 0.961978697239699 1.62270960887893e-09 0.275744998485719 1.25032496564917e-09 0.00518123697198822 9.60436734550042e-10 0.00204419157439225 -2052.64306915296 -1944.21593702074 -1459.11251870205 0.18268163626936 0.0745679529454883
Ae_bicornis A 1cM 0.00357667363091515 0.112576319816869 0.9 0.961882013846859 1.46684188177621e-09 0.267602387668386 1.18428722821264e-09 0.00344829476568818 9.47317069255494e-10 0.00375502124347105 -2117.66617427735 -1965.73725205402 -1458.64042587281 0.230535639299596 0.0619823849834508
Ae_bicornis A 1cM 0.00321440992532958 0.126370708899911 0.9 0.968220608377595 1.36777756544484e-09 0.276422936166732 1.04998402901782e-09 0.00506438022578542 8.06039307577787e-10 0.00178139147732086 -2063.93404838301 -1907.96686092793 -1422.20099069117 0.243040600115034 0.0836790204246509
Ae_bicornis A 1cM 0.00309733887763328 0.116273429849512 0.9 0.966441965773934 1.37188779239624e-09 0.241316458005065 1.05798368779967e-09 0.00554705010626576 8.15887827250287e-10 0.00199733623150762 -2193.10331863106 -1908.99871012628 -1418.41898872586 0.366735969139261 0.060366248003498
Ae_bicornis A 1cM 0.00346016450839924 0.119736587326591 0.9 0.963864675391252 1.53758506432647e-09 0.27125995907942 1.19072819660206e-09 0.00445856485587013 9.22083878554491e-10 0.00217231543986668 -2046.49199758962 -1918.90307099358 -1466.69364011313 0.22005741297951 0.0823062673312749
